year,ege_budg,total_income
2015,62.67,2034669.3
2016,65.42,3118670.7
2017,58.04,3643246.0
2013,58.7,504902.3
2014,60.84,529900.7
2015,60.31,497400.1
2016,62.85,429134.1
2017,61.6,410051.2
2013,69.27,445941.7040000001
2014,69.46,441663.8
2015,63.52,427517.2
2016,65.79,506357.2
2017,66.29,569063.4
2013,60.79,487776.69200000004
2014,58.13,553637.3
2015,60.7,574167.3
2016,60.15,587960.8
2017,60.5,525064.1
2013,69.69,980561.12
2014,66.17,1006839.5
2015,67.57,817612.4
2016,66.7,776621.9
2017,67.09,738363.8
2013,61.16,1550317.758
2014,59.72,1834867.1
2015,62.84,1786597.8
2016,63.35,1222386.0
2017,63.22,1135640.3
2013,70.39,971327.1960000001
2014,62.26,1051610.3
2015,61.53,818952.5
2016,62.1,552462.1
2017,64.59,909467.0
2013,64.26,2807138.04
2014,60.38,2832848.7
2015,60.85,2703241.3
2016,63.92,2486317.3
2017,66.22,2456751.4
2013,66.13,1566694.7880000002
2014,58.71,2138596.7
2015,60.63,1909368.2
2016,65.85,1916307.9
2017,61.9,1971690.6
2013,63.96,1551064.164
2014,53.84,1669029.2
2015,58.8,1506335.7
2016,58.84,1262625.1
2017,63.18,1389370.9
2013,72.96,645016.673
2014,69.9,712377.3
2015,71.35,710401.5
2016,72.26,715059.1
2017,74.1,770381.7
2013,68.24,2387912.2959999996
2014,63.78,2179563.0
2015,68.61,2058957.3
2016,71.49,2073071.1
2017,73.51,2694533.8
2013,65.78,3551420.0525
2014,62.17,3990601.2
2015,61.76,4066207.0
2016,61.16,3361519.5
2017,65.6,3629066.7
2013,67.93,783635.99
2014,63.75,838045.3
2015,65.89,999237.6
2016,66.92,875248.1
2017,69.58,1027532.8
2013,62.47,582837.398
2014,59.61,705720.7
2015,60.36,711355.0
2016,62.34,708941.7
2017,62.18,736182.6
2013,68.45,469675.0080000001
2014,65.36,436284.0
2015,65.18,430602.9
2016,69.18,429435.8
2017,72.31,549077.6
2013,65.8,415939.86
2014,63.8,389797.6
2015,63.06,299320.7
2016,64.34,296660.8
2017,62.07,253400.2
2013,59.71,489597.336
2014,52.03,400211.9
2015,55.97,376673.7
2016,57.75,429703.0
2017,59.1,469686.2
2013,50.09,397372.8
2014,51.61,359558.2
2015,50.24,339405.9
2016,53.09,334981.6
2017,54.4,361273.1
2013,68.05,989704.17
2014,65.36,1150617.0
2015,63.33,1027546.7
2016,68.43,982737.3
2017,67.34,1134890.7
2013,62.97,495584.94200000004
2014,65.48,705236.7
2015,66.94,688740.8
2016,60.86,662144.7
2017,61.13,686201.0
2013,57.76,195434.64
2014,59.1,189219.4
2015,55.48,205375.9
2016,55.85,202350.8
2017,53.79,193352.3
2013,58.65,790139.997
2014,54.23,804087.0
2015,60.2,665059.8
2016,61.21,705966.4
2017,61.53,672351.1
2013,63.48,446666.262
2014,60.63,444694.9
2015,61.54,444179.2
2016,63.41,834459.1
2017,62.54,794515.8
2013,62.63,402605.06
2014,64.56,396084.9
2013,71.94,744271.1709999999
2014,65.23,717115.7
2015,68.06,690176.5
2016,69.38,690827.8
2017,67.97,686359.5
2013,70.08,1203041.816
2014,67.19,1234857.8
2015,69.29,1260781.3
2016,69.35,1322579.1
2017,69.38,1278497.6
2013,73.63,1972426.8214999998
2014,71.51,2058748.8
2015,72.33,2024285.2
2016,74.35,2243262.6
2017,73.61,2317828.4
2013,62.21,971257.203
2014,57.71,955598.1
2015,56.0,921946.0
2016,57.05,869884.6
2017,55.76,890379.8
2013,57.93,672148.114
2014,58.33,680297.1
2015,60.32,590712.1
2016,62.26,578282.2
2017,66.0,599647.0
2013,70.73,1257424.398
2014,65.74,1258255.0
2015,68.28,1162675.2
2016,68.25,1157199.6
2017,66.69,1233826.3
2013,70.91,424339.692
2014,64.88,670251.4
2015,66.7,677666.3
2016,68.45,742911.1
2017,69.39,846896.2
2013,63.26,359893.66
2014,59.21,346015.7
2015,61.18,397098.3
2016,63.6,400352.1
2017,65.75,356523.3
2013,62.51,679165.5665000001
2014,58.66,743945.9
2015,60.83,644441.3
2016,61.17,610503.7
2017,58.48,691958.8
2013,78.27,95920.2
2014,81.42,161729.8
2015,78.0,185163.9
2016,83.22,218995.9
2017,83.0,243412.3
2013,64.95,1202158.3105
2014,65.02,1423623.7
2013,60.95,1979253.675
2014,57.32,1906214.2
2015,60.87,1750056.3
2016,64.32,1696714.2
2017,60.52,1697608.2
2013,60.64,451751.74
2014,50.76,610756.0
2015,56.13,630037.6
2016,54.62,507906.7
2017,55.52,524820.2
2013,62.98,1205085.196
2014,60.8,1134658.7
2015,59.47,1031141.6
2016,60.97,1052058.3
2017,61.07,1144171.4
2013,62.8,765677.26
2014,62.15,751489.5
2015,60.86,989406.0
2016,64.07,811114.0
2017,62.76,831480.3
2013,67.02,520858.184
2014,55.87,637533.9
2015,60.11,491732.6
2016,63.21,514735.3
2017,65.71,548670.2
2013,69.87,2323766.0700000003
